,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected
618,Vandalism,2011,7/28/2011,19:25:00,7/28/2011,19:25:00,City of Tacoma (TPWR),"Spanaway, Washington",WECC,,
619,Vandalism,2011,7/28/2011,13:32:00,7/28/2011,13:32:00,Northern Indiana Public Service Company (NIPSCO),Indiana,RFC,,
622,Vandalism,2011,7/27/2011,12:07:00,7/27/2011,12:08:00,Tacoma Power (TPWR),"Fife, Washington",WECC,,
623,Vandalism,2011,7/26/2011,12:01:00,7/26/2011,12:01:00,Western Farmers Electric Cooperative,"Backup Control Center, Oklahoma",SPP,0,0
624,Vandalism,2011,7/24/2011,14:34:00,7/24/2011,15:47:00,Public Service of NH (Northeast Utilities),"Southern, New Hampshire",NPCC,0,0
630,Vandalism,2011,7/20/2011,09:10:00,7/20/2011,16:30:00,Tacoma Power (TPWR),"Frederickson Substation, Washington",WECC,,
631,Vandalism,2011,7/19/2011,11:45:00,7/19/2011,15:00:00,Central Maine Power Company,Maine,NPCC,,
635,Suspected Physical Attack,2011,7/12/2011,20:20:00,7/12/2011,21:30:00,Gen On,California,WECC,UNK,UNK
636,Vandalism,2011,7/12/2011,12:00:00,7/12/2011,12:00:00,Central Maine Power Company,Maine,NPCC,,0
638,Vandalism,2011,7/11/2011,13:30:00,7/11/2011,13:30:00,Central Maine Power Company,Maine,NPCC,,0
639,Vandalism,2011,7/11/2011,13:13:00,7/11/2011,13:13:00,Duke Energy,Southwest Ohio,RFC,0,0
643,Vandalism,2011,7/8/2011,10:00:00,7/8/2011,10:00:00,Minnesota Power,"Saginaw, Minnesota",MRO,0,0
644,Suspected Cyber Attack,2011,7/8/2011,10:00:00,7/11/2011,09:00:00,PJM Interconnection,"PJM Corporate Office, Pennsylvania",RFC,UNK,UNK
645,Vandalism,2011,7/6/2011,09:51:00,7/6/2011,09:52:00,ISO New England,Vermont,NPCC,,
646,Vandalism,2011,7/5/2011,10:40:00,7/5/2011,11:37:00,PacifiCorp,West Valley Substation Utah,WECC,0,0
649,Vandalism,2011,7/1/2011,16:38:00,7/1/2011,22:38:00,Dayton Power & Light,Greene County Ohio,RFC,,0
651,Vandalism,2011,7/1/2011,08:00:00,7/1/2011,08:01:00,ISO New England,"CONVEX Local Control Center, Connecticut",NPCC,0,0
